modDirectSearch,kmp,bmx,rabin_karp,aho_find_all,lib_find,textLen,subLen,index
1.6689300537109375e-06,3.0994415283203125e-06,5.0067901611328125e-06,9.059906005859375e-06,1.1920928955078125e-05,1.1920928955078125e-06,11,3,3
3.0994415283203125e-06,4.291534423828125e-06,5.7220458984375e-06,1.1920928955078125e-05,2.002716064453125e-05,0.0,11,3,1
2.86102294921875e-06,3.0994415283203125e-06,4.0531158447265625e-06,7.867813110351562e-06,1.2636184692382812e-05,1.1920928955078125e-06,11,3,1
3.0994415283203125e-06,3.0994415283203125e-06,6.198883056640625e-06,1.4066696166992188e-05,1.3113021850585938e-05,0.0,11,3,7
2.1457672119140625e-06,2.86102294921875e-06,5.0067901611328125e-06,9.059906005859375e-06,1.4066696166992188e-05,1.1920928955078125e-06,11,3,2
1.9073486328125e-06,3.0994415283203125e-06,4.76837158203125e-06,9.298324584960938e-06,1.2874603271484375e-05,9.5367431640625e-07,11,3,3
1.6689300537109375e-06,2.1457672119140625e-06,3.0994415283203125e-06,5.0067901611328125e-06,1.0013580322265625e-05,9.5367431640625e-07,11,3,0
2.86102294921875e-06,4.0531158447265625e-06,4.0531158447265625e-06,7.867813110351562e-06,1.1205673217773438e-05,0.0,11,3,3
3.0994415283203125e-06,2.86102294921875e-06,4.0531158447265625e-06,1.2874603271484375e-05,1.1205673217773438e-05,7.152557373046875e-07,11,3,8
9.5367431640625e-07,1.9073486328125e-06,2.86102294921875e-06,4.0531158447265625e-06,1.0013580322265625e-05,0.0,11,3,0
3.0994415283203125e-06,5.0067901611328125e-06,5.9604644775390625e-06,1.5020370483398438e-05,1.3113021850585938e-05,0.0,11,3,8
3.0994415283203125e-06,3.814697265625e-06,7.152557373046875e-06,1.3828277587890625e-05,1.4066696166992188e-05,9.5367431640625e-07,11,3,7
2.86102294921875e-06,4.0531158447265625e-06,5.9604644775390625e-06,1.4066696166992188e-05,1.4781951904296875e-05,9.5367431640625e-07,11,3,7
2.1457672119140625e-06,3.0994415283203125e-06,3.814697265625e-06,7.867813110351562e-06,1.1920928955078125e-05,0.0,11,3,2
3.0994415283203125e-06,3.814697265625e-06,5.9604644775390625e-06,1.5974044799804688e-05,1.5020370483398438e-05,1.1920928955078125e-06,11,3,8
2.1457672119140625e-06,3.814697265625e-06,4.0531158447265625e-06,1.0013580322265625e-05,1.3113021850585938e-05,9.5367431640625e-07,11,3,4
2.86102294921875e-06,4.0531158447265625e-06,1.9073486328125e-05,2.8848648071289062e-05,1.0967254638671875e-05,0.0,11,3,7
1.9073486328125e-06,3.0994415283203125e-06,3.814697265625e-06,6.198883056640625e-06,1.1920928955078125e-05,9.5367431640625e-07,11,3,0
3.0994415283203125e-06,3.0994415283203125e-06,5.0067901611328125e-06,7.867813110351562e-06,1.5020370483398438e-05,9.5367431640625e-07,11,3,1
1.6689300537109375e-06,4.291534423828125e-06,5.7220458984375e-06,1.1205673217773438e-05,1.5020370483398438e-05,9.5367431640625e-07,11,3,4
